"state_fips","state_name","pop_2010","pop_2019","land_area","population_density_2010","population_density_2019","raw_change","percent_growth"
"48","Texas","25146091","28995881","676668210823","0.962093603113575051763800","1.112287698383938892405500","3849790","1219.28400652370989266300"
"12","Florida","18804564","21477737","138947364717","0.679451768534660643297300","0.773909511155161104827800","2673173","673.61350467669989756100"
"13","Georgia","9688729","10617423","149484604230","1.153402682291320329267900","1.263870158441590025691800","928694","432.87657214998736365300"
"08","Colorado","5029319","5758736","268419875371","0.356178564986048294222500","0.423272205687953526093700","729417","395.90214954977367873100"
"47","Tennessee","6346276","6829174","106805839178","0.497503108051869048884200","0.534126056461231046886000","482898","389.84101960578859297800"
"53","Washington","6724540","7614893","172117954267","0.168838113632870063835900","0.190741358087203796267300","890353","351.23159223847812384800"
"37","North Carolina","9535751","10488084","125925929633","0.710016364715215653512800","0.776339822540554365017900","952333","331.42695336944406874800"
"49","Utah","2763891","3205958","213355135666","0.102992749915672507217900","0.118205884539205647496800","442067","303.30029247846406081100"
"38","North Dakota","672576","762062","178695635183","0.017076489505778170968900","0.018887349992429408626300","89486","292.82967699955087042100"
"51","Virginia","8001049","8535519","102258306285","3.978344390777685752044100","4.302923723442422444241700","534470","269.22085248054529294600"
"16","Idaho","1567657","1787065","214049897859","0.058313500788610988906200","0.066996996278573214812400","219408","249.48975201068308749100"
"41","Oregon","3831079","4217737","248607777514","0.147186826282825581228300","0.162893848374813582491600","386658","220.15929826282634219900"
"06","California","37254519","39512223","403660088482","0.850201750758561147064100","0.911183078431787818629700","2257704","183.48602285304621704800"
"45","South Carolina","4625366","5148714","77864659170","0.234423710342538551742400","0.257139858159444551704900","523348","152.27659925864061534100"
"46","South Dakota","814198","884659","196346195316","0.035132308545681972054100","0.038247840660038489012100","70461","118.36169251536585817900"
"30","Montana","989407","1068778","376966832749","0.015703299062270782468300","0.016810399258206448642100","79371","117.21158691429006597400"
"04","Arizona","6392288","7278717","294360282618","0.030069927556554680550200","0.034062699064871544569900","886429","99.14507373638869581200"
"24","Maryland","5773794","6045680","25151726296","0.653538344625447950419500","0.666286427007688240363200","271886","69.36009383585380019600"
"02","Alaska","710249","731545","1478927050067","0.007460159408701770947100","0.007438664384641365325500","21296","65.62260445233491988700"
"27","Minnesota","5303927","5639632","206230065476","0.407457675867299369275500","0.437793496822985553050400","335705","58.40303932245703689000"
"32","Nevada","2700677","3080156","284537049864","0.030123374113790331019600","0.032319900998965383795500","379479","58.30095638011111868100"
"25","Massachusetts","6547785","6892503","20204387828","0.518567074614535908642700","0.557859264046508735671600","344718","53.89533169916585194300"
"18","Indiana","6484051","6732219","92790048198","0.613678520667626029867700","0.637182421610520440622600","248168","43.16410584061921991300"
"10","Delaware","897937","973764","5046620081","0.056297281714274718113900","0.059970996051076199329400","75827","33.95360651140637867600"
"55","Wisconsin","5687285","5822434","140293020078","0.271196554201905959376500","0.278021809188634125574500","135149","33.82284180061631441900"
"15","Hawaii","1360307","1415872","16634006436","0.022998925272250712300700","0.023862403611342196539900","55565","22.54711816787715381200"
"11","District of Columbia","601767","705749","158340389","0.33992837895856738900","0.39866611748671824200","103982","17.27944536672831843600"
"33","New Hampshire","1316462","1359711","23189198255","0.066618342955723176876800","0.069018073720640033923200","43249","16.40472716363160027800"
"56","Wyoming","563775","578759","251458578211","0.005623144995343859180200","0.005792227757394894127400","14984","6.35074773533488927200"
"44","Rhode Island","1052964","1059361","2677787140","0.151609561445004780450800","0.150901145177790218819400","6397","-4.35738542892503689900"
"23","Maine","1328358","1344212","79887659040","0.042649325791090177663900","0.043466778558449530017400","15854","-5.13525971889572776800"
"34","New Jersey","8791978","8882190","19048848841","1.574895392981589730008500","1.613609856626528503720900","90212","-10.09776167274975805200"
"09","Connecticut","3574147","3565287","12542497381","0.185854400185821396953900","0.185185242649220866454400","-8860","-11.16124718645673151900"
"50","Vermont","625737","623989","23874197924","0.035203570132574673887500","0.035305679398194541745000","-1748","-11.62952412079005864000"
"21","Kentucky","4339333","4467673","102282218059","0.528804288212294185764400","0.546332054409712942480400","128340","-13.08024327384207026000"
"40","Oklahoma","3751582","3956971","177662675149","0.198439036943366681781100","0.210511265944313702406600","205389","-29.23035178164262047600"
"39","Ohio","11536751","11689100","105823701267","0.836169167423384581849500","0.849973091739375087869200","152349","-56.68149364521356204900"
"22","Louisiana","4533487","4648794","111899106382","0.289465773362246149877200","0.300817263524198777523800","115307","-66.412951391429896385142100"
"26","Michigan","9884116","9986857","146608689865","0.516394055122252310829700","0.521128264479854522514800","102741","-89.64266214353013481000"
"35","New Mexico","2059199","2096829","314197253999","0.045402203970563517994200","0.046720724687699312165400","37630","-103.03223794854287221100"
"29","Missouri","5988950","6137428","178049911275","0.564878451489387465698100","0.565483944807087862751800","148478","-112.10321477548115590100"
"01","Alabama","4780125","4903185","131174192284","0.224020946850956047979900","0.229268018960985230709700","123060","-118.053983345114754182600400"
"42","Pennsylvania","12702868","12801989","115880457407","1.161755725031195348307000","1.183207557743916494016900","99121","-127.53886215586538387800"
"36","New York","19378144","19453561","122050000805","5.021611206012449174994800","5.122828174913444837937400","75417","-156.06394473272335400100"
"19","Iowa","3046871","3155070","144660467237","0.200773528140413731126300","0.207598636173212840393100","108199","-177.38501939652678930600"
"05","Arkansas","2916031","3017804","134776580080","0.152863067773706704015100","0.157436906341374216408100","101773","-211.94189459245726236700"
"31","Nebraska","1826305","1934408","198953801353","0.148550257023640022638900","0.160285899380308766356800","108103","-227.14443779578836775900"
"54","West Virginia","1853018","1792147","62266231560","0.202918167169477726307700","0.197186485122468586729300","-60871","-257.72358688423748912600"
"28","Mississippi","2968130","2976149","121536584987","0.185856197184401394364700","0.186191217096886194381000","8019","-275.10972805670593072400"
"20","Kansas","2853123","2913314","211753474780","0.196290815821676273337500","0.202746888731325585862300","60191","-451.45158125930918189500"
"17","Illinois","12831572","12671821","143779863817","0.632822093662900152388500","0.624678603024729141790000","-159751","-497.14117552385741140800"
